epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
121,1227.31,0.50631,0.3289,0.92241,0.95916,0.98608,0.98804,0.87525,0.4854,0.25901,0.83207,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,1237.32,0.50211,0.33445,0.91614,0.9592,0.98588,0.98816,0.8736,0.48565,0.25889,0.83205,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,1247.52,0.50183,0.3266,0.92635,0.95909,0.98641,0.98816,0.87387,0.48531,0.25935,0.83324,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,1257.53,0.49658,0.32369,0.91781,0.95938,0.98659,0.98831,0.87726,0.48422,0.2584,0.83296,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,1267.89,0.49091,0.32247,0.9166,0.95905,0.9861,0.9881,0.87517,0.4837,0.25765,0.83275,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,1278.11,0.49786,0.32569,0.91661,0.95731,0.98449,0.98783,0.87512,0.48251,0.25399,0.83226,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,1288.37,0.49567,0.32317,0.91856,0.95671,0.98734,0.98784,0.87271,0.48269,0.25458,0.83223,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,1298.49,0.50034,0.31836,0.91423,0.95667,0.98708,0.98765,0.87554,0.48277,0.25457,0.83257,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,1308.56,0.48159,0.31173,0.91646,0.95876,0.98705,0.98785,0.8751,0.48251,0.25591,0.83255,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,1318.65,0.49283,0.32028,0.91874,0.9593,0.98407,0.98792,0.87619,0.48198,0.25616,0.83244,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,1328.77,0.4889,0.31186,0.91726,0.95927,0.98403,0.98781,0.87547,0.48198,0.25505,0.83224,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,1338.95,0.49552,0.31351,0.9156,0.95984,0.98348,0.98774,0.87537,0.48189,0.25657,0.83209,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,1349.21,0.47893,0.30688,0.90977,0.95945,0.98393,0.98763,0.87632,0.4814,0.25464,0.83221,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,1359.47,0.48153,0.30271,0.90847,0.95947,0.98401,0.98709,0.87437,0.48173,0.25368,0.83182,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,1369.47,0.48221,0.31423,0.91281,0.96015,0.98331,0.98703,0.87535,0.48178,0.25377,0.83187,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
136,1379.4,0.478,0.30018,0.91354,0.96036,0.98257,0.98709,0.87417,0.48046,0.25354,0.83121,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
137,1389.37,0.47866,0.30634,0.90248,0.95987,0.98323,0.98667,0.87394,0.48016,0.2532,0.83117,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
138,1399.66,0.47416,0.2981,0.90532,0.95898,0.98393,0.98666,0.87555,0.47936,0.25366,0.8311,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958
